Driver,LapTime,Sector1Time,Sector2Time,Sector3Time
STR,82.628,0 days 00:00:28.674000,0 days 00:00:18.202000,0 days 00:00:35.752000
STR,82.905,0 days 00:00:28.641000,0 days 00:00:18.185000,0 days 00:00:36.079000
STR,82.861,0 days 00:00:28.795000,0 days 00:00:18.236000,0 days 00:00:35.830000
STR,82.852,0 days 00:00:28.715000,0 days 00:00:18.159000,0 days 00:00:35.978000
STR,82.941,0 days 00:00:28.821000,0 days 00:00:18.203000,0 days 00:00:35.917000
STR,83.294,0 days 00:00:28.858000,0 days 00:00:18.270000,0 days 00:00:36.166000
STR,83.192,0 days 00:00:28.780000,0 days 00:00:18.210000,0 days 00:00:36.202000
STR,83.059,0 days 00:00:28.871000,0 days 00:00:18.249000,0 days 00:00:35.939000
STR,83.135,0 days 00:00:28.955000,0 days 00:00:18.347000,0 days 00:00:35.833000
STR,83.124,0 days 00:00:28.875000,0 days 00:00:18.298000,0 days 00:00:35.951000
STR,83.521,0 days 00:00:29.110000,0 days 00:00:18.331000,0 days 00:00:36.080000
STR,83.157,0 days 00:00:28.921000,0 days 00:00:18.262000,0 days 00:00:35.974000
STR,83.266,0 days 00:00:29.001000,0 days 00:00:18.354000,0 days 00:00:35.911000
STR,83.114,0 days 00:00:28.986000,0 days 00:00:18.288000,0 days 00:00:35.840000
STR,83.398,0 days 00:00:29.054000,0 days 00:00:18.316000,0 days 00:00:36.028000
STR,83.207,0 days 00:00:29.035000,0 days 00:00:18.282000,0 days 00:00:35.890000
STR,97.526,0 days 00:00:28.958000,0 days 00:00:18.264000,0 days 00:00:50.304000
STR,87.847,0 days 00:00:34.155000,0 days 00:00:18.064000,0 days 00:00:35.628000
STR,82.042,0 days 00:00:28.498000,0 days 00:00:18.275000,0 days 00:00:35.269000
STR,82.1,0 days 00:00:28.665000,0 days 00:00:18.230000,0 days 00:00:35.205000
STR,82.244,0 days 00:00:28.417000,0 days 00:00:18.198000,0 days 00:00:35.629000
STR,81.829,0 days 00:00:28.383000,0 days 00:00:18.200000,0 days 00:00:35.246000
STR,81.722,0 days 00:00:28.380000,0 days 00:00:18.055000,0 days 00:00:35.287000
STR,81.992,0 days 00:00:28.476000,0 days 00:00:18.074000,0 days 00:00:35.442000
STR,81.603,0 days 00:00:28.270000,0 days 00:00:18.094000,0 days 00:00:35.239000
STR,81.431,0 days 00:00:28.260000,0 days 00:00:18.093000,0 days 00:00:35.078000
STR,81.014,0 days 00:00:28.162000,0 days 00:00:18.105000,0 days 00:00:34.747000
STR,81.109,0 days 00:00:28.185000,0 days 00:00:18.076000,0 days 00:00:34.848000
STR,80.93,0 days 00:00:28.058000,0 days 00:00:18.072000,0 days 00:00:34.800000
STR,80.991,0 days 00:00:28.152000,0 days 00:00:18.077000,0 days 00:00:34.762000
STR,81.121,0 days 00:00:28.174000,0 days 00:00:18.099000,0 days 00:00:34.848000
STR,81.213,0 days 00:00:28.234000,0 days 00:00:18.166000,0 days 00:00:34.813000
STR,81.063,0 days 00:00:28.121000,0 days 00:00:18.093000,0 days 00:00:34.849000
STR,81.13,0 days 00:00:28.029000,0 days 00:00:18.135000,0 days 00:00:34.966000
STR,81.272,0 days 00:00:28.135000,0 days 00:00:18.219000,0 days 00:00:34.918000
STR,81.233,0 days 00:00:28.132000,0 days 00:00:18.185000,0 days 00:00:34.916000
STR,103.017,0 days 00:00:28.051000,0 days 00:00:28.096000,0 days 00:00:46.870000
STR,119.767,0 days 00:00:42.296000,0 days 00:00:31.967000,0 days 00:00:45.504000
MAG,84.248,0 days 00:00:29.856000,0 days 00:00:18.052000,0 days 00:00:36.340000
MAG,83.565,0 days 00:00:29.255000,0 days 00:00:18.095000,0 days 00:00:36.215000
MAG,83.529,0 days 00:00:29.068000,0 days 00:00:18.018000,0 days 00:00:36.443000
MAG,83.961,0 days 00:00:29.446000,0 days 00:00:18.061000,0 days 00:00:36.454000
MAG,83.954,0 days 00:00:29.211000,0 days 00:00:18.296000,0 days 00:00:36.447000
MAG,97.945,0 days 00:00:29.198000,0 days 00:00:18.137000,0 days 00:00:50.610000
MAG,89.979,0 days 00:00:35.149000,0 days 00:00:18.717000,0 days 00:00:36.113000
MAG,83.662,0 days 00:00:29.317000,0 days 00:00:18.413000,0 days 00:00:35.932000
MAG,83.671,0 days 00:00:29.145000,0 days 00:00:17.985000,0 days 00:00:36.541000
